Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Afghanistan,312.44,305.05,298.95,292.6,256.76,218.48,181.06,143.8,106.02,89.27,76.5,61.3,48.67,36.02,35.39,35.5,34.65,29.17,32.89,36.8,34.53,33.09,31.14,28.82,28.5,28.51,29.02,29.49,29.41
Albania,9.71,9.84,9.97,9.98,9.9,9.77,9.7,9.52,9.51,9.5,9.86,10.37,10.77,10.94,10.96,11.21,11.09,11.23,11.48,11.25,11.04,11.46,12.02,12.52,12.66,11.03,10.95,11.33,11.6
Algeria,177.58,177.7,177.37,177.16,177.23,176.42,176.26,175.52,175.18,175.49,175.8,177.26,177.99,178.74,172.11,165.02,158.03,151.98,145.84,135.12,124.18,113.18,102.93,92.53,82.17,81.94,80.95,79.62,79.4
Andorra,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.12,0.12,0.12,0.12,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.06,0.06,0.06
Angola,132.9,144.0,141.68,142.1,139.92,141.78,142.26,144.67,145.4,137.09,130.17,126.9,118.18,117.57,113.43,108.36,97.41,89.43,96.86,102.31,106.5,93.69,95.81,88.33,87.13,85.54,84.29,82.61,80.97
Antigua and Barbuda,0.6,0.61,0.6,0.6,0.6,0.58,0.58,0.57,0.57,0.6,0.6,0.59,0.59,0.57,0.57,0.57,0.54,0.54,0.54,0.51,0.51,0.48,0.48,0.45,0.45,0.42,0.42,0.39,0.39
Argentina,366.17,365.92,359.59,355.27,355.62,354.17,348.99,341.36,343.82,367.6,382.14,385.42,383.25,377.01,376.53,372.73,353.28,343.39,347.59,347.92,337.0,342.87,340.5,341.72,339.95,334.93,335.86,329.78,329.73
Armenia,8.35,8.6,8.78,8.78,8.69,8.57,8.29,8.14,8.12,7.88,7.82,7.55,7.22,6.93,6.83,6.62,6.44,6.27,6.1,6.6,7.2,7.95,8.55,9.16,9.78,10.44,11.27,12.17,12.82
Australia,458.03,459.36,395.09,438.74,441.35,419.48,537.49,543.06,394.66,433.87,422.52,472.89,484.09,420.83,477.52,420.62,538.17,563.24,542.06,517.68,484.62,481.64,468.46,485.21,488.53,494.22,505.56,505.37,505.55
Austria,20.59,20.83,21.02,21.26,21.45,22.01,22.41,22.87,23.39,23.42,24.0,24.27,24.83,25.35,26.0,26.3,26.8,27.15,27.54,28.26,28.68,29.54,30.48,31.21,32.66,33.96,35.0,35.6,35.89
Azerbaijan,166.97,169.52,171.94,174.42,179.15,183.92,188.62,193.35,198.21,177.22,156.22,135.19,114.19,92.96,87.69,82.36,76.94,71.65,66.2,62.91,59.64,56.31,52.92,49.75,51.02,52.82,54.86,58.3,60.34
Bahamas,0.72,0.78,0.75,0.72,0.71,0.76,0.68,0.73,0.66,0.67,0.7,0.65,0.64,0.66,0.68,0.6,0.61,0.57,0.75,0.71,0.7,0.67,0.68,0.6,0.59,0.59,0.58,0.55,0.54
Bahrain,47.07,46.15,45.26,44.35,42.85,41.36,39.85,38.36,36.87,35.17,33.46,31.8,30.1,28.4,27.46,26.51,25.6,24.64,23.7,21.59,19.49,17.41,15.33,13.22,11.17,10.81,10.57,10.36,10.13
Bangladesh,254.7,251.1,244.07,246.13,245.17,243.43,241.9,240.64,238.47,235.1,232.29,224.7,222.92,219.81,214.83,215.79,213.22,209.46,209.31,207.57,201.79,203.1,201.29,202.18,199.91,197.48,197.23,195.46,195.21
Barbados,7.09,7.07,7.04,7.03,7.02,6.99,6.98,6.95,6.95,6.92,6.89,6.86,6.86,6.87,6.87,6.88,6.88,6.92,6.91,6.88,6.86,6.83,6.79,6.76,6.73,6.63,6.53,6.41,6.29
Belarus,51.36,51.27,50.75,52.07,51.32,50.93,48.86,47.99,49.03,47.56,47.52,45.11,43.71,42.5,43.39,42.11,41.84,42.29,43.04,44.28,44.82,45.06,45.7,46.37,48.86,51.32,53.95,60.03,61.39
Belgium,25.67,25.62,26.43,26.68,26.62,26.97,27.57,28.09,28.96,29.18,29.38,29.91,30.56,30.97,31.77,32.17,34.18,35.83,37.38,38.84,38.65,39.42,40.1,40.49,40.09,40.16,40.69,41.38,41.24
Belize,1.72,1.75,1.65,1.59,1.6,1.86,1.74,2.13,1.87,1.68,1.53,1.42,1.14,1.01,0.87,1.1,0.87,0.79,0.83,3.99,7.22,10.28,13.5,16.65,19.91,19.53,19.23,18.81,18.44
Benin,18.95,18.6,18.42,17.91,17.42,17.33,16.52,16.08,15.42,14.92,14.27,14.19,13.55,13.66,12.19,12.07,12.08,11.07,13.14,12.76,13.4,11.78,11.65,10.44,10.87,10.3,10.19,10.0,9.65
Bhutan,2.95,2.97,3.01,3.03,3.07,3.12,3.14,3.09,3.11,3.04,2.92,3.17,3.05,3.07,2.84,2.81,2.78,2.79,2.92,3.03,2.89,2.88,2.85,2.89,2.71,2.72,2.72,2.81,2.79
Bolivia,80.43,79.58,80.92,78.08,74.14,75.09,75.16,74.4,88.68,67.64,68.45,73.62,69.43,68.62,71.57,58.21,60.42,52.62,54.8,68.26,59.1,58.3,57.23,54.02,53.8,51.42,49.19,46.88,44.86
Bosnia and Herzegovina,10.9,11.05,11.17,11.25,11.21,12.31,12.23,12.62,12.33,12.99,12.7,12.44,11.87,11.28,10.99,10.41,9.69,11.49,11.65,11.02,10.6,9.47,7.93,6.92,7.58,7.57,10.33,16.76,17.11
