country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,15345.5978582934,14923.4050205169,15293.1833547565,15374.9934277762,15790.426851818,15578.1964076231,16609.5867776334,17201.8907825515,17743.9131061779,17933.4397904515,18949.169567302,19182.286785683,19712.7323287489,18765.2767014156,20163.2401501925,20405.8158065194,20224.6064878925,18963.1189905204,18908.2807875882,19607.6331429126,19698.2988200131,20034.5751488136,20342.3834778016,19756.4526473437,20084.5428336262
Austria,4293.06258958584,4460.64666458185,4161.61638288105,4080.8480946679,4279.53097598147,4388.99718320682,4272.75225034369,4286.75869314582,4347.07409116246,4335.79819560139,4301.70460988914,4177.76162490381,4174.31268013581,4163.74846991014,3571.7214627101,3581.49386376403,3567.39359790372,3577.37016383082,3751.8926015206,3523.21806483884,3330.1508428,3402.28805899567,3359.69048998423,3361.48349314328,3427.43737299867
Belarus,15074.697805904,14693.752334818,13232.439982768,12816.656566594,11472.270574672,10752.765283444,11451.00532477,11732.3670118,11702.191035332,11251.338762214,11350.074288376,11338.843481618,10134.689907728,10578.776337292,10899.037111026,11203.946164142,11769.732019834,11709.4255861,12276.831959534,12507.96678271,12439.691519354,13041.54565992,12824.03580262,12799.388453272,12678.394857726
Belgium,10232.4000382159,10106.4073495644,9858.6978618329,10129.3928108206,10524.5048354457,10997.2037194408,11415.398560162,11183.0529189441,11057.2645597503,11071.1025909106,10352.8296876537,9963.92130157159,9613.02298617883,8712.78391381373,8850.4092731786,8581.48814510937,7591.03215178499,7094.15143768088,7102.80277274666,7229.43055480784,7759.83441618082,6564.49132627943,6470.88988425807,6280.71600286632,6278.98373750572
Bulgaria,8818.37141292847,6839.49771151956,5774.31109544814,5222.4745987816,5106.66182493753,4977.77959817515,4846.99043437078,4589.80143981182,3784.72928445926,3944.16097234411,4005.22085681668,4078.70742274843,4017.6318807371,3852.30323609396,4395.67656340284,4240.78225222001,3769.7414422988,3813.99986008563,4055.12998711494,3646.36487014831,4118.30970080681,3768.2482137874,3833.31577398217,4237.59451933528,3807.66613870328
Canada,42239.7307721834,41010.0740664717,41323.5177157639,42000.4456435488,45062.1701912386,45650.3327877802,47724.3995197404,46527.870911098,42548.8743217178,40309.5164172252,39936.356635356,38523.214474169,38156.7745435737,40097.5345772836,42328.241861865,40863.4283663269,38759.9393800432,39691.9656662167,41681.6457531807,37749.5907018662,37891.753748992,37652.726724076,38773.5415647623,40647.0631927479,39407.1108706383
Croatia,2793.14962938266,2652.77362136561,2693.14631988244,2306.49417076897,2325.58979219483,2248.32964293429,2234.91559231208,2433.92669374514,2069.62684779324,2277.14868903243,2387.67171742591,2370.13253176201,2276.72903481168,2173.68198135036,2448.45046521196,2405.29943226947,2334.44929495875,2420.17013254078,2454.85122489478,2224.65623070275,2300.07156763452,2356.55447754079,2216.92191738725,1697.40303822074,1621.47305302201
Cyprus,309.9047424,309.9044444,342.5869984,363.1329064,351.946642,398.598244,364.649488,353.25516,379.546806,366.12429,363.015256,394.555278,396.171332,394.165494,385.4701073,359.0261833,376.1754873,369.0948583,358.3156917,356.5110335,376.8326965,362.4272573,355.2934651,327.5974643,330.5656784
Czech Republic,11446.6469272203,9898.53869276329,8999.6686196642,8064.5856625792,7840.70196490355,8027.71793324945,7869.55193757898,7838.49264850086,7694.96090306874,7561.34569543948,7568.7508246245,7650.73702464,7375.06206802929,7044.60293100224,7491.18980351111,7107.64171808379,7069.14006491977,7067.65619801291,6930.08190648947,6616.85086175011,6398.1561228289,6557.25229605377,6441.22389738116,6335.43371232632,6660.69397839425
Denmark,7813.98220403621,7680.69773539393,7610.88310734658,7117.56479342416,7207.60031402353,7085.34925940786,6666.74780296077,6794.51884463166,6789.72994670559,6992.43924979096,6837.48781306869,6645.01710511251,6726.27499735231,6490.23171109984,6050.82549268459,5411.64556687349,5389.35753047604,5482.2110056033,5449.49481677779,5147.99594399131,5137.1642230126,5133.77010296871,4974.30190021738,5114.30580754653,5084.61187572385
